name,artists,duration_ms
Headshot (feat. Polo G & Fivio Foreign),"['Lil Tjay', 'Polo G', 'Fivio Foreign']",144349
Fala Comigo - Ao Vivo,['Gusttavo Lima'],140629
Till Forever Falls Apart,"['Ashe', 'FINNEAS']",222861
Diamonds,['Sam Smith'],213869
Way down We Go,['KALEO'],213707
Hypnotized,"['Purple Disco Machine', 'Sophie and the Giants']",195658
Love On The Brain,['Rihanna'],224000
"i hate u, i love u (feat. olivia o'brien)","['gnash', ""Olivia O'Brien""]",251034
Cake By The Ocean,['DNCE'],219147
7 Years,['Lukas Graham'],237300
Run It Up (feat. Offset & Moneybagg Yo),"['Lil Tjay', 'Offset', 'Moneybagg Yo']",232048
Intentions (feat. Quavo),"['Justin Bieber', 'Quavo']",212867
Don't Let Me Down,"['The Chainsmokers', 'Daya']",208373
My Oh My (feat. DaBaby),"['Camila Cabello', 'DaBaby']",170746
Someone To You,['BANNERS'],219801
You Need To Calm Down,['Taylor Swift'],171360
RITMO (Bad Boys For Life),"['Black Eyed Peas', 'J Balvin']",221714
You Shook Me All Night Long,['AC/DC'],210173
Con Calma,"['Daddy Yankee', 'Snow']",193227
Dancing With Your Ghost,['Sasha Sloan'],197732
Supalonely,"['BENEE', 'Gus Dapperton']",223480
I Think I'm OKAY (with YUNGBLUD & Travis Barker),"['Machine Gun Kelly', 'YUNGBLUD', 'Travis Barker']",169397
Sex Sounds,['Lil Tjay'],162453
Goodbyes (feat. Young Thug),"['Post Malone', 'Young Thug']",174853
Under the Bridge,['Red Hot Chili Peppers'],264307
EARFQUAKE,"['Tyler, The Creator']",190067
Hold Me While You Wait,['Lewis Capaldi'],205687
Dancing With A Stranger (with Normani),"['Sam Smith', 'Normani']",171030
Moral of the Story,['Ashe'],201084
Beautiful People (feat. Khalid),"['Ed Sheeran', 'Khalid']",197867
parents,['YUNGBLUD'],171880
Like That (feat. Gucci Mane),"['Doja Cat', 'Gucci Mane']",163173
Empire State Of Mind,"['JAY-Z', 'Alicia Keys']",276920
November Rain,"[""Guns N' Roses""]",536067
Needed Me,['Rihanna'],191600
Scars To Your Beautiful,['Alessia Cara'],230227
Wolves,"['Selena Gomez', 'Marshmello']",197993
Die For You (feat. Dominic Fike),"['Justin Bieber', 'Dominic Fike']",198426
MODO TURBO,"['Luísa Sonza', 'Pabllo Vittar', 'Anitta']",150260
Madonna,"['Bausa', 'Apache 207']",195734
Só Não Divulga,"['Fernando & Sorocaba', 'Tarcísio do Acordeon']",160477
Cabrón y Vago - En Vivo,"['El Fantasma', 'Los Dos Carnales']",142065
Riptide,['Vance Joy'],204280
Quiéreme Mientras Se Pueda,['Manuel Turizo'],191945
Rude,['MAGIC!'],224840
Secrets,"['Regard', 'RAYE']",176767
Richer (feat. Polo G),"['Rod Wave', 'Polo G']",190459
Got It On Me,['Pop Smoke'],164580
Blue & Grey,['BTS'],254950
champagne problems,['Taylor Swift'],244000
Moonwalking in Calabasas (feat. Blueface) - Remix,"['DDG', 'Blueface']",170233
One More Time,['Daft Punk'],320357
Like I Want You,['Giveon'],260776
Algo Mágico,['Rauw Alejandro'],261603
Ô Moça,['MC Zaquin'],180923
JETSKI (feat. Lil Mosey & Lil Tecca),"['Internet Money', 'Lil Tecca', 'Lil Mosey']",165161
Sacrifice,['Bebe Rexha'],160871
Masterpiece,['DaBaby'],181714
Lonely (with benny blanco),"['Justin Bieber', 'benny blanco']",149190
Foi Pá Pum,['Simone & Simaria'],183413
Wasted On You,['Morgan Wallen'],178520
Ohne Dich,"['KASIMIR1441', 'badmómzjay', 'WILDBWOYS']",125720
Heartbreak Anniversary,['Giveon'],198371
Me Fije,"['Alex Rose', 'Rauw Alejandro']",202307
"Gravity (feat. Tyler, The Creator)","['Brent Faiyaz', 'DJ Dahi', 'Tyler, The Creator']",214693
Where The Lights Are Low,"['Toby Romeo', 'Felix Jaehn', 'FAULHABER']",136996
Frag mich nicht,"['Miksu / Macloud', 'Nimo', 'Jamule']",157253
Good Without,['Mimi Webb'],182121
Some Say - Felix Jaehn Remix,"['Nea', 'Felix Jaehn']",186878
Azul,['J Balvin'],205933
Best Friend,['Rex Orange County'],262231
Chop Suey!,['System Of A Down'],210240
All Star,['Smash Mouth'],200373
Dynamite,['Taio Cruz'],202613
Basket Case,['Green Day'],181533
"Sugar, We're Goin Down",['Fall Out Boy'],229093
Pon de Replay,['Rihanna'],246960
Bound 2,['Kanye West'],229147
The Spins,['Mac Miller'],195873
Wake Me Up Before You Go-Go,['Wham!'],231333
Young And Beautiful,['Lana Del Rey'],236053
Scream & Shout,"['will.i.am', 'Britney Spears']",283400
oops!,['Yung Gravy'],139760
Fly To My Room,['BTS'],222243
Conversations,['Juice WRLD'],181661
Buss It,['Erica Banks'],187000
ALWAYS DO,['The Kid LAROI'],151705
Jump - 2015 Remaster,['Van Halen'],241600
Tennessee Whiskey,['Chris Stapleton'],293293
Snow (Hey Oh),['Red Hot Chili Peppers'],334667
Sky,['Playboi Carti'],193234
Teenagers,['My Chemical Romance'],161920
DJ Got Us Fallin' In Love (feat. Pitbull),"['Usher', 'Pitbull']",220800
Candy Shop,"['50 Cent', 'Olivia']",209107
Kryptonite,['3 Doors Down'],233933
Stan,"['Eminem', 'Dido']",404107
It's My Life,['Bon Jovi'],224493
Gone,['ROSÉ'],207164
Mercy,['Shawn Mendes'],208733
Só de Sacanagem - Ao Vivo,"['Israel & Rodolffo', 'MC Matheuzinho']",183695
Body,"['Russ Millions', 'Tion Wayne']",183830
Моя голова винтом (My head is spinning like a screw),['kostromin'],140000
I'm not Pretty,['JESSIA'],118400
Batman,['LPB Poody'],156432
VOCE,['Madame'],211411
Street Runner,['Rod Wave'],252021
LILAC,['IU'],214253
Fake A Smile,"['Alan Walker', 'salem ilese']",168118
As the World Caves In,['Matt Maltese'],218755
Te Va Bien (with Arcangel & Becky G feat. Darell),"['KEVVO', 'Arcangel', 'Becky G', 'Darell']",281853
Sand In My Boots,['Morgan Wallen'],202133
Somebody,['Justin Bieber'],179415
Only Wanna Be With You - Pokémon 25 Version,['Post Malone'],241360
test drive,['Ariana Grande'],122174
idfc,['blackbear'],245172
Sure Thing,['Miguel'],195373
You (with Marshmello & Vance Joy),"['benny blanco', 'Marshmello', 'Vance Joy']",169632
Ingobernable,"['C. Tangana', 'Gipsy Kings', 'Nicolás Reyes', 'Tonino Baliardo']",187053
Love You Different (feat. BEAM),"['Justin Bieber', 'BEAM']",186696
Roadtrip,"['Dream', 'PmBata']",133661
Teeth,['5 Seconds of Summer'],204887
You Belong With Me (Taylor’s Version),['Taylor Swift'],231124
Fearless (Taylor’s Version),['Taylor Swift'],241592
Fireflies,['Owl City'],228347
Party In The U.S.A.,['Miley Cyrus'],202067
Nothing Else Matters,['Metallica'],388267
Enter Sandman,['Metallica'],331267
I Still Haven't Found What I'm Looking For,['U2'],277477
With Or Without You - Remastered,['U2'],295516
Tiny Dancer,['Elton John'],377093
Heartless,['Kanye West'],211000
American Boy,"['Estelle', 'Kanye West']",284733
"You're Gonna Go Far, Kid",['The Offspring'],177827
WACHA,"['KHEA', 'Duki']",206360
Lut Gaye,"['Jubin Nautiyal', 'Tanishk Bagchi', 'Nusrat Fateh Ali Khan', 'Emraan Hashmi']",228031
Swervin (feat. 6ix9ine),"['A Boogie Wit da Hoodie', '6ix9ine']",189487
Beautiful Crazy,['Luke Combs'],193200
Someone You Loved,['Lewis Capaldi'],182161
Whistle,['Flo Rida'],224653
Three Little Birds,['Bob Marley & The Wailers'],180267
We Will Rock You - Remastered,['Queen'],122067
I Don’t Wanna Live Forever (Fifty Shades Darker),"['ZAYN', 'Taylor Swift']",247160
Bank Account,['21 Savage'],220307
Sunflower,['Rex Orange County'],252231
Galway Girl,['Ed Sheeran'],170827
8TEEN,['Khalid'],228600
LOVE. FEAT. ZACARI.,"['Kendrick Lamar', 'Zacari']",213400
Love Galore (feat. Travis Scott),"['SZA', 'Travis Scott']",275080
Scared to Be Lonely,"['Martin Garrix', 'Dua Lipa']",220883
Beautiful Girls,['Sean Kingston'],225373
Gimme More,['Britney Spears'],251240
Verbatim,['Mother Mother'],168320
No One,['Alicia Keys'],253813
Sorry Not Sorry,['Demi Lovato'],203760
FourFiveSeconds,"['Rihanna', 'Kanye West', 'Paul McCartney']",188238
Call Me Maybe,['Carly Rae Jepsen'],193400
Faded,['Alan Walker'],212107
Little Talks,['Of Monsters and Men'],266600
ZEZE (feat. Travis Scott & Offset),"['Kodak Black', 'Offset', 'Travis Scott']",228760
Trust,['Brent Faiyaz'],158421
Always Remember Us This Way,['Lady Gaga'],210200
Magic In The Hamptons (feat. Lil Yachty),"['Social House', 'Lil Yachty']",164640
Shotgun,['George Ezra'],201287
Nonstop,['Drake'],238614
Self Care,['Mac Miller'],345133
i wanna be your girlfriend,['girl in red'],204991
3 Nights,['Dominic Fike'],177667
Yes Indeed,"['Lil Baby', 'Drake']",142273
Your Song,['Elton John'],241787
Someone Like You,['Adele'],285240
More Than a Feeling,['Boston'],285133
"Love Me Like You Do - From ""Fifty Shades Of Grey""",['Ellie Goulding'],252534
Often,['The Weeknd'],249040
Super Bass,['Nicki Minaj'],200013
Infinity,['Jaymes Young'],237720
"All I Want - From ""High School Musical: The Musical: The Series""",['Olivia Rodrigo'],177323
Just the Way You Are,['Bruno Mars'],220733
I Want It That Way,['Backstreet Boys'],213307
24K Magic,['Bruno Mars'],225983
Steal My Girl,['One Direction'],228133
Riptide,['Vance Joy'],204280
Ambitionz Az A Ridah,['2Pac'],278387
Godspeed,['Frank Ocean'],177922
Shout Out to My Ex,['Little Mix'],246240
Pink + White,['Frank Ocean'],184516
Bang Bang,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']",199387
Outside (feat. Ellie Goulding),"['Calvin Harris', 'Ellie Goulding']",227267
Talking to the Moon,['Bruno Mars'],217867
"...And to Those I Love, Thanks for Sticking Around",['$uicideboy$'],168490
Lose Somebody,"['Kygo', 'OneRepublic']",199549
Intentions,"['Justin Bieber', 'Quavo']",212869
Caramelo,['Ozuna'],217547
The Middle,['Jimmy Eat World'],165853
Si Me Dices Que Sí,"['Reik', 'Farruko', 'Camilo']",211652
How You Remind Me,['Nickelback'],223840
Xerecard,"['Jeff Costa', 'Mc Danny']",236112
Brown Munde,"['AP Dhillon', 'Gminxr', 'Gurinder Gill', 'Shinda Kahlon']",254400
Goodbye,"['Imanbek', 'Goodboys']",144000
Smile (with The Weeknd),"['Juice WRLD', 'The Weeknd']",196180
PILLOWTALK,['ZAYN'],202747
Best Day Of My Life,['American Authors'],194240
Fight Song,['Rachel Platten'],204013
This Is What You Came For (feat. Rihanna),"['Calvin Harris', 'Rihanna']",222160
Mariposa,['Peach Tree Rascals'],210000
ME! (feat. Brendon Urie of Panic! At The Disco),"['Taylor Swift', 'Brendon Urie', 'Panic! At The Disco']",193000
wish you were gay,['Billie Eilish'],221543
"break up with your girlfriend, i'm bored",['Ariana Grande'],190440
"Alone, Pt. II","['Alan Walker', 'Ava Max']",179053
Hate Me (with Juice WRLD),"['Ellie Goulding', 'Juice WRLD']",186223
Pluto Projector,['Rex Orange County'],267520
Cradles,['Sub Urban'],209829
Old Town Road,['Lil Nas X'],113000
China,"['Anuel AA', 'Daddy Yankee', 'KAROL G', 'J Balvin', 'Ozuna']",301714
If I Ain't Got You,['Alicia Keys'],228707
Beat It,['Michael Jackson'],258040
Should I Stay or Should I Go - Remastered,['The Clash'],188987
Suicidal,['YNW Melly'],222997
Hey Ya!,['Outkast'],235213
No Scrubs,['TLC'],214400
Like I'm Gonna Lose You (feat. John Legend),"['Meghan Trainor', 'John Legend']",225053
...Baby One More Time,['Britney Spears'],211067
My Girl,['The Temptations'],165000
Ophelia,['The Lumineers'],160097
Go Fuck Yourself,['Two Feet'],129600
Control,['Zoe Wees'],230880
La Luz,"['Sech', 'J Balvin']",216747
Brown Eyed Girl,['Van Morrison'],183307
DOLLAZ ON MY HEAD (feat. Young Thug),"['Gunna', 'Young Thug']",197760
Titanium (feat. Sia),"['David Guetta', 'Sia']",245040
Flex (feat. Juice WRLD),"['Polo G', 'Juice WRLD']",163902
Rain On Me (with Ariana Grande),"['Lady Gaga', 'Ariana Grande']",182200
Bonita,['Jeeiph'],187429
OK Not To Be OK,"['Marshmello', 'Demi Lovato']",159863
Get Out My Head,['Shane Codd'],204933
Nada,"['Cali Y El Dandee', 'Danna Paola']",174027
Hit Different,"['SZA', 'The Neptunes', 'Pharrell Williams', 'Ty Dolla $ign']",202008
i'm so tired...,"['Lauv', 'Troye Sivan']",162583
Telepathy,['BTS'],202313
Still Trappin' (with King Von),"['Lil Durk', 'King Von']",172185
TRAGIC (feat. Youngboy Never Broke Again & Internet Money),"['The Kid LAROI', 'YoungBoy Never Broke Again', 'Internet Money']",153147
my future,['Billie Eilish'],208155
We Don't Talk Anymore (feat. Selena Gomez),"['Charlie Puth', 'Selena Gomez']",217707
Investe Em Mim,['Jonas Esticado'],186533
How Do You Sleep?,['Sam Smith'],202205
She Will Be Loved - Radio Mix,['Maroon 5'],259453
This Love,['Maroon 5'],206200
We Paid (feat. 42 Dugg),"['Lil Baby', '42 Dugg']",181929
Fever,"['Dua Lipa', 'Angèle']",156911
Maçã Verde,['MC Hariel'],164308
Make You Mine,['PUBLIC'],232907
Savage Love (Laxed – Siren Beat) [BTS Remix],"['Jawsh 685', 'Jason Derulo', 'BTS']",184905
PTSD,"['G Herbo', 'Juice WRLD', 'Lil Uzi Vert', 'Chance the Rapper']",232065
Mad at Disney,['salem ilese'],136839
SO DONE,['The Kid LAROI'],126521
Hasta Que Dios Diga,"['Anuel AA', 'Bad Bunny']",246000
Rät,['Penelope Scott'],194165
The Adults Are Talking,['The Strokes'],309053
I Was Made For Lovin' You,['KISS'],271240
High Fashion (feat. Mustard),"['Roddy Ricch', 'Mustard']",220487
Empty,['Juice WRLD'],248431
Hola - Remix,"['Dalex', 'Lenny Tavárez', 'Chencho Corleone', 'Juhn', 'Dímelo Flow']",249520
TKN (feat. Travis Scott),"['ROSALÍA', 'Travis Scott']",129371
you should see me in a crown,['Billie Eilish'],180953
Lalala,"['Y2K', 'bbno$']",160627
bloody valentine,['Machine Gun Kelly'],205159
El Tóxico,"['Grupo Firme', 'Carin Leon']",179746
Through Da Storm,['Polo G'],195587
Still into You,['Paramore'],216013
forget me too (feat. Halsey),"['Machine Gun Kelly', 'Halsey']",171621
Saturno,"['BIN', 'Mainstreet', 'Ajaxx']",186947
Drankin N Smokin,"['Future', 'Lil Uzi Vert']",213520
Kaikai Kitan,['Eve'],221426
Suicidal (Remix) [feat. Juice WRLD],"['YNW Melly', 'Juice WRLD']",225857
Bitter Sweet Symphony,['The Verve'],357267
Miedito o Qué? (feat. KAROL G),"['Ovy On The Drums', 'Danny Ocean', 'KAROL G']",209905
South of the Border (feat. Camila Cabello & Cardi B),"['Ed Sheeran', 'Camila Cabello', 'Cardi B']",204467
Borderline,['Tame Impala'],237800
Not Afraid,['Eminem'],248133
SUGAR,['BROCKHAMPTON'],204533
bury a friend,['Billie Eilish'],193143
Suge,['DaBaby'],163320
Lights Up,['Harry Styles'],172213
Surrender,['Natalie Taylor'],183103
Pa' Olvidarme De Ella,"['Piso 21', 'Christian Nodal']",227234
I.F.L.Y.,['Bazzi'],165714
"Don't Give Up On Me - (From ""Five Feet Apart"")",['Andy Grammer'],196188
American Idiot,['Green Day'],176346
My Boo,"['Usher', 'Alicia Keys']",223440
GATTI,"['JACKBOYS', 'Pop Smoke', 'Travis Scott']",181145
Despacito,"['Luis Fonsi', 'Daddy Yankee']",229360
You should be sad,['Halsey'],205473
Black And White,['Niall Horan'],193090
Amor e Fé - Acústico,['Hungria Hip Hop'],322736
Chemtrails Over The Country Club,['Lana Del Rey'],271177
Love Story (Taylor’s Version),['Taylor Swift'],235767
After Hours,['The Weeknd'],361027
Medicine,['James Arthur'],208906
Adicto (with Anuel AA & Ozuna),"['Tainy', 'Anuel AA', 'Ozuna']",270741
Fifteen (Taylor’s Version),['Taylor Swift'],294419
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),['Taylor Swift'],277592
Savage,['Megan Thee Stallion'],155497
You Make My Dreams (Come True),['Daryl Hall & John Oates'],190627
"Young, Wild & Free (feat. Bruno Mars)","['Snoop Dogg', 'Wiz Khalifa', 'Bruno Mars']",207333
Monster (Shawn Mendes & Justin Bieber),"['Shawn Mendes', 'Justin Bieber']",178994
agoraphobic,['CORPSE'],129796
PEPPERMINT,['Luciano'],197240
Esquema Preferido - Ao Vivo,['Os Barões Da Pisadinha'],201974
Girls Just Want to Have Fun,['Cyndi Lauper'],238267
Fantasias,"['Rauw Alejandro', 'Farruko']",199711
Iris,['The Goo Goo Dolls'],289533
Vete,['Bad Bunny'],192024
PRACTICE,['DaBaby'],122587
Dance Monkey,['Tones And I'],209438
Hollywood's Bleeding,['Post Malone'],156267
The Bones,['Maren Morris'],197293
Tudo Indica (feat. Jorge & Mateus) - Ao Vivo,"['Marcos & Belutti', 'Jorge & Mateus']",183014
Fine Line,['Harry Styles'],377960
Relación,['Sech'],184255
Ruff Ryders' Anthem,['DMX'],214440
Jangueo,"['Alex Rose', 'Rafa Pabön']",259600
Calla Tú,['Danna Paola'],161813
Life's A Mess II (with Clever & Post Malone),"['Juice WRLD', 'Clever', 'Post Malone']",206734
White Lies,"['VIZE', 'Tokio Hotel']",183588
Celebrity,['IU'],195547
Who's Laughing Now,['Ava Max'],180348
CLOUDS,['NF'],243750
2/Catorce,"['Rauw Alejandro', 'Mr. Naisgai']",212032
Little Things,['One Direction'],219040
ZITTI E BUONI,['Måneskin'],192655
They Don't Know About Us,['One Direction'],200400
Weak,['Larissa Lambert'],159375
Die Young,['Kesha'],211920
I Knew You Were Trouble.,['Taylor Swift'],219720
Wild Ones (feat. Sia),"['Flo Rida', 'Sia']",232947
Love Again (feat. Alida),"['Alok', 'Alida']",147402
Uptown Girl,['Billy Joel'],197707